old_name,new_name,instructions
GENHUMAN,GenHuman,"Rename. Top asset group. Unify to PascalCase 'GenHuman'. Distinct from suffixed children (GenHuman_Joint_GRP etc.)."
GenMan_rig_componentLayer_hrc,GenHuman_rig_componentLayer_hrc,"Rename. 'GenMan' is missing 'Hu' -- typo token. Covered by the bulk GenMan_ -> GenHuman_ swap; listed explicitly as an anchor."
GenMan_rig_componentLayer_meta,GenHuman_rig_componentLayer_meta,"Rename. Anchor node for the bulk prefix swap."
GenMan_rig_deformLayer_hrc,GenHuman_rig_deformLayer_hrc,"Rename. Contains the rig-internal deform skeleton (the second 'root'). Anchor for bulk swap."
GenMan_rig_deformLayer_meta,GenHuman_rig_deformLayer_meta,"Rename. Anchor node for the bulk prefix swap."
GenMan_rig_geo_hrc,GenHuman_rig_geo_hrc,"Rename. Anchor node for the bulk prefix swap."
GenMan_rig_geo_meta,GenHuman_rig_geo_meta,"Rename. Anchor node for the bulk prefix swap."
GenMan_*,GenHuman_*,"Scripted prefix swap. ~673 REMAINING auto-generated solver/utility nodes carry the 'GenMan_' prefix. Do NOT hand-rename. Use a script to replace leading 'GenMan_' with 'GenHuman_'. Maya auto-updates the ~3300 incoming connection references. BEST FIX: correct the token in the rig generator so re-gen does not reintroduce it."
GHuman_mesh_02,GenHuman_body_mesh,"Rename. Body geometry. 'GHuman' token. Shape/ShapeOrig nodes auto-follow on transform rename (verify Orig name)."
e_Gman_EYE_MESH_GRP,GenHuman_eye_Mesh_GRP,"Rename. Eye mesh group. 'Gman' token + ALLCAPS. Its parentConstraint1/scaleConstraint1 children should be renamed to follow."
e_GMan_EYE_mesh_L,GenHuman_eye_mesh_l,"Rename. Eye mesh. Trailing lowercase side per convention. Shapes auto-follow."
e_GMan_EYE_mesh_R,GenHuman_eye_mesh_r,"Rename. Eye mesh. Trailing lowercase side per convention. Shapes auto-follow."
GM_Body,GenHuman_body_mat,"Rename. Material, not geometry. Consider migrating to generic shader per clothing-asset spec (separate task)."
GM_EyeBall,GenHuman_eyeBall_mat,"Rename. Material, not geometry."
GM_foot_L,foot_align_l,"Rename + verify. Joint parented under calf_l (sibling of foot_l). Wrong brand token + uppercase side. VERIFY PURPOSE: likely an IK/align helper; may be redundant with ik_foot_l. Confirm before renaming; pick foot_align_l or merge."
GM_foot_R,foot_align_r,"Rename + verify. Joint parented under calf_r (sibling of foot_r). Wrong brand token + uppercase side. VERIFY PURPOSE before renaming; pick foot_align_r or merge with ik_foot_r."
GM_foot_L_parentConstraint1 / GM_foot_R_parentConstraint1 / e_Gman_EYE_MESH_GRP_parentConstraint1 / e_Gman_EYE_MESH_GRP_scaleConstraint1,<derive from renamed target>,"Rename. Utility nodes named after their target. Rename to match the renamed parent so naming stays consistent."
"eye_[LR]_*CrvSkin_jnt, *Jnt (camelCase), mouth_M_*_jnt, brow_[LR]_bind*_jnt, etc. (~228 joints)",(no change this pass),"DEFER. Facial module uses a DIFFERENT but internally-consistent convention (mid-token _L_/_R_/_M_, _jnt or Jnt suffix). Clothing never connects to these. High risk to rename (generated + wired into facial solver). Defer to a dedicated pass. If ever standardized: _L_->trailing _l, Jnt->_jnt."
"root, pelvis, spine_01..spine_05, clavicle/upperarm/lowerarm/hand_l|r, [finger chains], neck_01/02, head, thigh/calf/foot/ball_l|r, *_twist_01/02_l|r, ik_foot_root/l/r, ik_hand_root/gun/l/r, center_of_mass, interaction",(NO CHANGE -- this is the contract),"KEEP / do not rename. Body/export skeleton under GenHuman_Joint_GRP is the Epic/Unreal mannequin skeleton verbatim. Renaming breaks UE retargeting, rig-internal connections, and game export. LOCK as the immutable clothing-connection contract. Clothing joints = 'cloth_' + this exact name (no _jnt)."
