tier,category,current_name,proposed_name,node_type,action,notes
1,brand-root,GENHUMAN,GenHuman,transform,rename,"Top asset group. Unify to PascalCase 'GenHuman'. Distinct from suffixed children (GenHuman_Joint_GRP etc.)."
1,brand-layer,GenMan_rig_componentLayer_hrc,GenHuman_rig_componentLayer_hrc,transform,rename,"'GenMan' is missing 'Hu' -- typo token. Covered by the bulk GenMan_ -> GenHuman_ swap; listed explicitly as an anchor."
1,brand-layer,GenMan_rig_componentLayer_meta,GenHuman_rig_componentLayer_meta,network,rename,"Anchor node for the bulk prefix swap."
1,brand-layer,GenMan_rig_deformLayer_hrc,GenHuman_rig_deformLayer_hrc,transform,rename,"Contains the rig-internal deform skeleton (the second 'root'). Anchor for bulk swap."
1,brand-layer,GenMan_rig_deformLayer_meta,GenHuman_rig_deformLayer_meta,network,rename,"Anchor node for the bulk prefix swap."
1,brand-layer,GenMan_rig_geo_hrc,GenHuman_rig_geo_hrc,transform,rename,"Anchor node for the bulk prefix swap."
1,brand-layer,GenMan_rig_geo_meta,GenHuman_rig_geo_meta,network,rename,"Anchor node for the bulk prefix swap."
1,brand-bulk,GenMan_*,GenHuman_*,various (mostly multMatrix/decomposeMatrix/composeMatrix/network),scripted-prefix-swap,"~673 REMAINING auto-generated solver/utility nodes carry the 'GenMan_' prefix. Do NOT hand-rename. Use a script to replace leading 'GenMan_' with 'GenHuman_'. Maya auto-updates the ~3300 incoming connection references. BEST FIX: correct the token in the rig generator so re-gen does not reintroduce it."
1,brand-mesh,GHuman_mesh_02,GenHuman_body_mesh,mesh (transform),rename,"Body geometry. 'GHuman' token. Shape/ShapeOrig nodes auto-follow on transform rename (verify Orig name)."
1,brand-mesh,e_Gman_EYE_MESH_GRP,GenHuman_eye_Mesh_GRP,transform,rename,"Eye mesh group. 'Gman' token + ALLCAPS. Its parentConstraint1/scaleConstraint1 children should be renamed to follow."
1,brand-mesh,e_GMan_EYE_mesh_L,GenHuman_eye_mesh_l,mesh (transform),rename,"Eye mesh. Trailing lowercase side per convention. Shapes auto-follow."
1,brand-mesh,e_GMan_EYE_mesh_R,GenHuman_eye_mesh_r,mesh (transform),rename,"Eye mesh. Trailing lowercase side per convention. Shapes auto-follow."
1,brand-shader,GM_Body,GenHuman_body_mat,blinn (shader),rename,"Material, not geometry. Consider migrating to generic shader per clothing-asset spec (separate task)."
1,brand-shader,GM_EyeBall,GenHuman_eyeBall_mat,blinn (shader),rename,"Material, not geometry."
2,skeleton-outlier,GM_foot_L,foot_align_l,joint,rename-verify,"Joint parented under calf_l (sibling of foot_l). Wrong brand token + uppercase side. VERIFY PURPOSE: likely an IK/align helper; may be redundant with ik_foot_l. Confirm before renaming; pick foot_align_l or merge."
2,skeleton-outlier,GM_foot_R,foot_align_r,joint,rename-verify,"Joint parented under calf_r (sibling of foot_r). Wrong brand token + uppercase side. VERIFY PURPOSE before renaming; pick foot_align_r or merge with ik_foot_r."
2,constraint-followers,GM_foot_L_parentConstraint1 / GM_foot_R_parentConstraint1 / e_Gman_EYE_MESH_GRP_parentConstraint1 / e_Gman_EYE_MESH_GRP_scaleConstraint1,<derive from renamed target>,parent/scaleConstraint,rename,"Utility nodes named after their target. Rename to match the renamed parent so naming stays consistent."
3,DEFERRED-face-module,"eye_[LR]_*CrvSkin_jnt, *Jnt (camelCase), mouth_M_*_jnt, brow_[LR]_bind*_jnt, etc. (~228 joints)","(no change this pass)",joint,DEFER,"Facial module uses a DIFFERENT but internally-consistent convention (mid-token _L_/_R_/_M_, _jnt or Jnt suffix). Clothing never connects to these. High risk to rename (generated + wired into facial solver). Defer to a dedicated pass. If ever standardized: _L_->trailing _l, Jnt->_jnt."
0,KEEP-do-not-rename,"root, pelvis, spine_01..spine_05, clavicle/upperarm/lowerarm/hand_l|r, [finger chains], neck_01/02, head, thigh/calf/foot/ball_l|r, *_twist_01/02_l|r, ik_foot_root/l/r, ik_hand_root/gun/l/r, center_of_mass, interaction","(NO CHANGE -- this is the contract)",joint,KEEP,"Body/export skeleton under GenHuman_Joint_GRP is the Epic/Unreal mannequin skeleton verbatim. Renaming breaks UE retargeting, rig-internal connections, and game export. LOCK as the immutable clothing-connection contract. Clothing joints = 'cloth_' + this exact name (no _jnt)."
